ensembl_gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	external_gene_name	chromosome_name	start_position	end_position	gene_biotype	entrezgene_id
ENSG00000104951	7640.346094779329	-7.6524772021204255	0.206346752692546	-37.08552280210834	4.808419458081056e-292	2.661382614895315e-292	IL4I1	19	49889654	49929539	protein_coding	259307
ENSG00000158710	28068.69413768497	-2.913940745789833	0.07890063246409285	-36.93177931261766	1.4284651282133542e-291	7.659251459338979e-292	TAGLN2	1	159918107	159925507	protein_coding	8407
ENSG00000102786	2524.1215209134334	-2.4255000777607236	0.06613362206210396	-36.67574831275708	1.7791061102129514e-291	8.978206658539358e-292	INTS6	13	51354077	51454264	protein_coding	26512
ENSG00000159202	8406.30738669632	-1.849465159710395	0.05040395776036469	-36.69285591626156	9.493904814960485e-292	4.936255115608849e-291	UBE2Z	17	48908407	48929056	protein_coding	65264
ENSG00000075618	1607.559634330113	-9.115976184741854	0.25260367850047505	-36.08805793667296	3.4912818087686356e-285	1.7115260935672074e-282	FSCN1	7	5592816	5606655	protein_coding	6624
ENSG00000182197	1612.6008891097129	-4.43634633951389	0.12350409541027708	-35.92064153643225	1.4548096272327995e-282	6.933784328905658e-280	EXT1	8	117794490	118111826	protein_coding	2131
ENSG00000074416	2978.448737191769	-7.535941505513791	0.21064256036285672	-35.775968031020135	2.6117859119180236e-280	1.2111627750456606e-277	MGLL	3	127689062	128052190	protein_coding	11343
ENSG00000108389	4491.994463415597	-2.4332278825062037	0.06855962847534926	-35.49068069091237	6.84435260328181e-276	3.0904053149239286e-273	MTMR4	17	58489529	58517905	protein_coding	9110
ENSG00000163704	605.220199543862	-6.2996953060652165	0.18006753635633158	-34.98518074684429	3.780429790451842e-268	1.663195239604428e-265	PRRT3	3	9939450	9952408	protein_coding	285368
ENSG00000158457	7056.096004204991	-4.201309366700734	0.1222862355686449	-34.35635537527317	1.1319625216824332e-258	4.855553236756798e-256	TSPAN33	7	129144707	129169699	protein_coding	340348
ENSG00000184009	56253.82390895149	-2.1051703310790697	0.06187099208736119	-34.02515880312039	9.46068080845144e-254	3.9591795441807266e-251	ACTG1	17	81509413	81523847	protein_coding	71
ENSG00000125733	4160.942313839942	-4.751109586038384	0.13976106169196012	-33.99451555763114	2.6848651530266742e-253	1.0968313403721828e-250	TRIP10	19	6737925	6751530	protein_coding	9322
ENSG00000161929	1151.9997220064508	4.6656065625919965	0.139707274985163	33.39558776081981	1.5888523414169448e-244	6.339890342798124e-242	SCIMP	17	5208920	5234860	protein_coding	388325
ENSG00000026508	18858.76362689963	-2.667391178363107	0.08030767567922642	-33.214647987291876	6.6159626385689945e-242	2.579924703467427e-239	CD44	11	35138882	35232402	protein_coding	960
ENSG00000140416	497.9414646084259	-4.332946517662746	0.1305945972202669	-33.17860470410271	2.191309722285432e-241	8.35522049221632e-239	TPM1	15	63042620	63071915	protein_coding	7168
ENSG00000166016	1055.7594063582922	-5.869233269908524	0.1785064662744788	-32.879667568365576	4.2923254380641517e-237	1.6010373883979287e-234	ABTB2	11	34150987	34358010	protein_coding	25841
ENSG00000131378	2942.4672292638925	-7.609568321528606	0.23353958243480805	-32.58363418395165	6.994871031766233e-233	2.5535744077243625e-230	RFTN1	3	16313574	16514026	protein_coding	23180
ENSG00000137507	1069.6409193507068	-7.012232036084007	0.21628253243637255	-32.421629047398504	1.3606875902540974e-230	4.863891181995793e-228	LRRC32	11	76657524	76670747	protein_coding	2615
ENSG00000114126	2827.0149600699738	-5.175018397465259	0.16108065955198445	-32.126876136828585	1.8583612239844662e-226	6.507298343086832e-224	TFDP2	3	141944428	142149544	protein_coding	7029
ENSG00000107551	571.2955383772246	-4.736209309927845	0.14840430475474437	-31.914231313943283	1.6948135789900513e-223	5.815922277662259e-221	RASSF4	10	44959407	44995891	protein_coding	83937
ENSG00000049249	2069.680054820262	-4.258393385972994	0.1339444006695678	-31.792246370030615	8.284823096409516e-222	2.7872744056508726e-219	TNFRSF9	1	7915871	7943165	protein_coding	3604
ENSG00000272398	6660.474165679893	5.000820824279236	0.1589872270836657	31.454230103954178	3.674203703715684e-217	1.2123459066991094e-214	CD24	6	106969831	106975627	protein_coding	100133941
ENSG00000196839	445.197213383155	-3.623419744136649	0.11850537571393845	-30.575994737008937	2.55267957054645e-205	8.263938881403016e-203	ADA	20	44584896	44652252	protein_coding	100
ENSG00000100721	5869.728514285641	3.059025610784707	0.10031466694031917	30.494300625098347	3.1011406765498904e-204	9.853587357082041e-202	TCL1A	14	95709947	95714196	protein_coding	8115
ENSG00000160216	3596.299748419025	-2.1848347072251504	0.07202610617211085	-30.333927840057775	4.093734633833351e-202	1.277096342678412e-199	AGPAT3	21	43865223	43987592	protein_coding	56894
ENSG00000134247	351.30128688884656	-5.15051917021657	0.17048976071296534	-30.21013783278121	1.7432357774187534e-200	5.3411499051698156e-198	PTGFRN	1	116909916	116990353	protein_coding	5738
ENSG00000067225	46572.7457585113	-2.373087433148897	0.07857776853521675	-30.200494075946352	2.3334650948891143e-200	7.024139315457441e-198	PKM	15	72199029	72231819	protein_coding	5315
ENSG00000026103	1030.7555358013217	-5.411294235791655	0.1793113660310452	-30.17819982953433	4.577440215177885e-200	1.354133089862451e-197	FAS	10	88953813	89029605	protein_coding	355
ENSG00000150625	1479.1375901766378	2.810157948822801	0.09328580802983992	30.12417438592479	2.3379488867891484e-199	6.799072372801389e-197	GPM6A	4	175632934	176002664	protein_coding	2823
ENSG00000073849	19088.43308960566	2.017868968590567	0.06767217334956341	29.81829707414865	2.262878850489198e-195	6.471079219448941e-193	ST6GAL1	3	186930325	187078553	protein_coding	6480
ENSG00000165802	435.7437879739735	-3.2317828283113816	0.10896448568122324	-29.659047240088817	2.5926724964211103e-193	7.292635195671051e-191	NSMF	9	137447570	137459334	protein_coding	26012
ENSG00000196604	2480.173763953562	-9.677413117629069	0.32790261778246516	-29.513070627722737	1.9568077228014423e-191	5.415307565778571e-189	POTEF	2	130073535	130129222	protein_coding	728378
ENSG00000160013	1127.265635416517	-7.025954190424973	0.2383449890192375	-29.47808644660823	5.49795643237314e-191	1.4973640708993387e-188	PTGIR	19	46620468	46625089	protein_coding	5739
ENSG00000176834	1078.448975658922	-2.140656636663456	0.07265541575884514	-29.463139317358465	8.545318179216945e-191	2.290946395609443e-188	VSIG10	12	118063593	118136026	protein_coding	54621
ENSG00000090339	6071.301548725786	-5.2281644569752	0.1783008867601453	-29.322145009902584	5.4151169892860515e-189	1.429424266187232e-186	ICAM1	19	10271093	10286615	protein_coding	3383
ENSG00000136732	2849.0725545436917	-2.3789692182504036	0.08137194381701034	-29.23574277149189	6.816320717742369e-188	1.7720368314397515e-185	GYPC	2	126656133	126696667	protein_coding	2995
ENSG00000175040	2998.3625106553113	2.6267956877748464	0.09047702727288504	29.032736452008383	2.5419995266151472e-185	6.509795205621298e-183	CHST2	3	143119771	143124014	protein_coding	9435
ENSG00000124762	3315.028205095482	-4.160839991655203	0.1440304152209794	-28.88862040195755	1.6593797077994541e-183	4.1870054450622106e-181	CDKN1A	6	36676460	36687337	protein_coding	1026
ENSG00000008853	1611.1576009073478	2.917307473145222	0.10258364468385388	28.438329347099035	6.79438556397912e-178	1.6895372102428082e-175	RHOBTB2	8	22987417	23020509	protein_coding	23221
ENSG00000151729	699.2750599011379	-3.454895074393341	0.12158333425954997	-28.41586057360465	1.2879115324259283e-177	3.1568551533377254e-175	SLC25A4	4	185143266	185150382	protein_coding	291
ENSG00000102290	1175.3911370788053	-4.306174438585091	0.15407108329343583	-27.94927085950174	6.728193402415576e-172	1.6259484844879778e-169	PCDH11X	X	91779261	92623230	protein_coding	27328
ENSG00000277443	4410.091250971677	-3.853535730154492	0.13931791535406698	-27.66001572992959	2.1148385423879732e-168	5.039777737540674e-166	MARCKS	6	113857345	113863475	protein_coding	4082
ENSG00000110446	2966.168248929663	-2.312858395557994	0.08369941976772473	-27.63290835201051	4.478909120071213e-168	1.0527277079750939e-165	SLC15A3	11	60937060	60952653	protein_coding	51296
ENSG00000115350	681.1042124094254	2.751515446007698	0.10030503488915284	27.43147887888578	1.1557118679216528e-165	2.6796897607837453e-163	POLE4	2	74958643	74970128	protein_coding	56655
ENSG00000141524	3903.850134186656	-1.6763575937128343	0.06156179839246204	-27.230484447934785	2.8299413053579483e-163	6.474151055644223e-161	TMC6	17	78107397	78132407	protein_coding	11322
ENSG00000148200	318.1620682440478	-6.172695153176871	0.22714113457927648	-27.175593556007733	1.262232978864897e-162	2.8496570330741975e-160	NR6A1	9	124517275	124771311	protein_coding	2649
ENSG00000222036	1966.373372356234	-10.48973628430574	0.3905664657392659	-26.857749460007327	6.847950881660595e-159	1.5259368990588634e-156	POTEM	14	18967434	19003752	protein_coding	641455
ENSG00000148671	336.1785814982712	-5.0752008284515515	0.1897446006525997	-26.747537537279673	1.3189695273036125e-157	2.9013947627532543e-155	ADIRF	10	86968432	86983934	protein_coding	10974
ENSG00000253626	2458.4025423051144	-3.536720737393576	0.13264015221927972	-26.664028035392295	1.230684611660857e-156	2.672922350237593e-154	EIF5AL1	10	79512533	79516440	protein_coding	143244
ENSG00000104921	17967.26291033282	-1.5243530998543	0.05755621020552329	-26.484598176479967	1.4584273757870586e-154	3.127962114219294e-152	FCER2	19	7688758	7702146	protein_coding	2208
ENSG00000101190	6115.817223920683	-4.149035562291558	0.1572110903462542	-26.391494093409012	1.715621248394895e-153	3.634151775303656e-151	TCFL5	20	62841005	62861822	protein_coding	10732
ENSG00000005059	1178.2626314696652	2.2827576275904127	0.08718138685867366	26.184002226196537	4.042929225146971e-151	8.459582883545331e-149	MCUB	4	109560209	109688719	protein_coding	55013
ENSG00000091317	2494.5335384803298	-2.0317004473852185	0.07774049221479874	-26.13439135131257	1.4829836336275635e-150	3.0656666488893657e-148	CMTM6	3	32481312	32502852	protein_coding	54918
ENSG00000077150	7153.856546080349	-2.9693082060047344	0.11364741761282328	-26.127370673046386	1.782078585835616e-150	3.640107663781846e-148	NFKB2	10	102394110	102402524	protein_coding	4791
ENSG00000136930	6180.180843208743	-2.2423825611698383	0.08593743265069183	-26.09319934288014	4.354929914030422e-150	8.790810289992231e-148	PSMB7	9	124353465	124415444	protein_coding	5695
ENSG00000133027	9906.178985596802	-4.170214563247433	0.16013909302156293	-26.041202585591694	1.6923570096722077e-149	3.3764490199948534e-147	PEMT	17	17505563	17591708	protein_coding	10400
ENSG00000184557	1047.338582217866	-9.3004374643109	0.3592414469731944	-25.88909921912455	8.835385648839355e-148	1.7425005398021334e-145	SOCS3	17	78356778	78360077	protein_coding	9021
ENSG00000151693	1003.8838038906516	-5.873443190970488	0.227747250229052	-25.789304525360446	1.168896885596235e-146	2.2790832685295682e-144	ASAP2	2	9206765	9405683	protein_coding	8853
ENSG00000187239	16531.615466420695	-3.580474086178831	0.13960735065636273	-25.64674474048296	4.596788928572002e-145	8.861989262521173e-143	FNBP1	9	129887187	130043189	protein_coding	23048
ENSG00000184574	1099.9187006991513	2.006366737985563	0.07843263832883939	25.58076306924167	2.4977227825773227e-144	4.761769722606856e-142	LPAR5	12	6618835	6635960	protein_coding	57121
ENSG00000056558	18516.84406803053	-4.967961643641129	0.19478240577102257	-25.505186795368164	1.7266567007728529e-143	3.2556017221824847e-141	TRAF1	9	120902393	120929173	protein_coding	7185
ENSG00000213626	12630.544975823514	1.4141302714681634	0.05565198903430565	25.41023772926514	1.943530505819108e-142	3.624684393352637e-140	LBH	2	30231534	30323730	protein_coding	81606
ENSG00000072110	981.6246847299852	-8.093657530211797	0.31954466067398435	-25.328720915382014	1.5421283035807114e-141	2.8451438099825636e-139	ACTN1	14	68874128	68979440	protein_coding	87
ENSG00000122861	300.7591607833838	-6.5777927951606054	0.26035865920063067	-25.264351934197823	7.877514549069193e-141	1.4378978152439276e-138	PLAU	10	73909177	73917496	protein_coding	5328
ENSG00000141279	3118.55757330182	-1.1254361474719634	0.04464922322785057	-25.206175295115933	3.4274904964193095e-140	6.19040862500658e-138	NPEPPS	17	47522942	47624665	protein_coding	9520
ENSG00000182168	595.5757993253238	-7.752375134768792	0.3094058835442103	-25.0556810554673	1.5138978930047917e-138	2.7057770883516896e-136	UNC5C	4	95162504	95549206	protein_coding	8633
ENSG00000177469	294.0825523474255	-4.2555797514293605	0.17141561655779453	-24.82609132636727	4.687338262140887e-136	8.291273185753952e-134	CAVIN1	17	42402449	42423256	protein_coding	284119
ENSG00000099715	668.3029073860517	-3.519389947678136	0.1424604392559433	-24.70433171524361	9.60787411361221e-135	1.6821622861363093e-132	PCDH11Y	Y	5000226	5742224	protein_coding	83259
ENSG00000222038	1209.1027147723853	-5.001257306623102	0.20312870932275576	-24.6211248193208	7.504251634898204e-134	1.3005853490058929e-131	POTEJ	2	130611440	130658037	protein_coding	653781
ENSG00000007129	703.6259396007966	2.9100048595658845	0.11861552260865849	24.53308635807052	6.554721191928164e-133	1.1246590621110342e-130	CEACAM21	19	41549518	41586844	protein_coding	90273
ENSG00000085117	2395.8554906926784	-1.478095473642273	0.06028790955660494	-24.517278580616132	9.665053387859571e-133	1.6419107527613317e-130	CD82	11	44564427	44620358	protein_coding	3732
ENSG00000285542	448.9401470165728	-5.1908064942840415	0.21194252488680657	-24.491576181119516	1.8162965198545693e-132	3.0552956556534015e-130		2	44168851	44320310	protein_coding	NA
ENSG00000185215	722.546318695461	-7.978829519691931	0.3259307960776279	-24.4801338680239	2.4047359978277967e-132	4.0058699272552745e-130	TNFAIP2	14	103121476	103137439	protein_coding	7127
ENSG00000137200	2976.096418172787	-1.7459297785806065	0.07145987091654782	-24.432310836658747	7.759825014756145e-132	1.280221900030634e-129	CMTR1	6	37433219	37482827	protein_coding	23070
ENSG00000234965	521.7609906458641	-8.111380411539473	0.3321062758861977	-24.424050373317808	9.498034702106959e-132	1.5520693277976303e-129	SHISA8	22	41909543	41915074	protein_coding	440829
ENSG00000102445	7102.687979937397	1.9365487467653024	0.07934824289900287	24.40569161979059	1.4880638677991417e-131	2.408698098462045e-129	RUBCNL	13	46334681	46438190	protein_coding	80183
ENSG00000187997	1101.2401188460003	-9.98707753785871	0.4120712925990206	-24.236285606959186	9.22534484728241e-130	1.479331466258613e-127	C17orf99	17	78146385	78166297	protein_coding	100141515
ENSG00000114354	1700.5600299354785	-1.5028757736827665	0.06211485040887615	-24.19511217993704	2.504545592079378e-129	3.978980858231294e-127	TFG	3	100709295	100748964	protein_coding	10342
ENSG00000051382	15841.12162901212	-3.640575647294214	0.15111782344205085	-24.090974607573443	3.108122488498257e-128	4.8925840052892745e-126	PIK3CB	3	138652698	138834928	protein_coding	5291
ENSG00000137285	829.9058592537863	-3.245309301792938	0.13472028822689736	-24.089239597878183	3.2410170581989865e-128	5.055397334961655e-126	TUBB2B	6	3223324	3231730	protein_coding	347733
ENSG00000108175	683.3537057695345	-3.431259085731404	0.14253325806453893	-24.07339264059854	4.750066344732759e-128	7.342489940804025e-126	ZMIZ1	10	79068966	79316519	protein_coding	57178
ENSG00000143061	16423.593359410646	-3.560731929878598	0.1485741669565331	-23.966023184369103	6.290315136400032e-127	9.636538134852834e-125	IGSF3	1	116574399	116667755	protein_coding	3321
ENSG00000048028	1252.7380074299867	1.8620660447741797	0.07824335696364194	23.798391544466103	3.470328644117146e-125	5.2693715819258385e-123	USP28	11	113797874	113875572	protein_coding	57646
ENSG00000155816	434.9333276680651	-6.486797326496606	0.2727148568884351	-23.786006382300943	4.6619707873005797e-125	7.016674979693276e-123	FMN2	1	240014348	240475187	protein_coding	56776
ENSG00000146757	1630.4977468693685	2.4689194348461037	0.10448450252991812	23.629527586056625	1.916705810950708e-123	2.859725069938456e-121	ZNF92	7	65373799	65401136	protein_coding	168374
ENSG00000168758	1211.175648587398	-10.56758760179397	0.4484573754343897	-23.564307737291372	8.95623077701045e-123	1.3247500661374593e-120	SEMA4C	2	96859718	96870757	protein_coding	54910
ENSG00000132970	669.9331241254579	-8.585100460856767	0.3644326520867422	-23.55744034377398	1.053224699896722e-122	1.5445495214382868e-120	WASF3	13	26557683	26688948	protein_coding	10810
ENSG00000100804	2201.097025340605	-2.017866364703262	0.08569124727430437	-23.548103556526776	1.3127954891866926e-122	1.908893644361463e-120	PSMB5	14	23016543	23035230	protein_coding	5693
ENSG00000196834	1219.51826410588	-5.12163966526681	0.21750036652336904	-23.547728894132792	1.3244498917515284e-122	1.9096564069472878e-120	POTEI	2	130459455	130509707	protein_coding	653269
ENSG00000108639	25027.87225490482	-1.3572195862127046	0.05768637143431418	-23.52756036593724	2.1309558683806047e-122	3.0469117324728675e-120	SYNGR2	17	78168581	78173527	protein_coding	9144
ENSG00000181090	3109.3382814817114	1.810276994540529	0.07722246709547811	23.44236156431387	1.5816851827396075e-121	2.2428557326815025e-119	EHMT1	9	137618992	137870016	protein_coding	79813
ENSG00000140848	520.0848421580868	-6.0694703162815316	0.2594281077247799	-23.39557717747556	4.740409227708087e-121	6.666880453197978e-119	CPNE2	16	57092583	57148369	protein_coding	221184
ENSG00000176788	4904.619601419643	-3.3841883275096944	0.1452578448967071	-23.297800748153684	4.6667694073344726e-120	6.509953617158122e-118	BASP1	5	17065598	17276843	protein_coding	10409
ENSG00000160223	1644.819410527775	-1.9361691446475913	0.08350033291103989	-23.187561979068505	6.079072302686152e-119	8.411671174958788e-117	ICOSLG	21	44215382	44241446	protein_coding	102723996
ENSG00000129250	1547.8566204329522	-2.508229389080521	0.10858513157496416	-23.09919740115533	4.716778297566509e-118	6.474438562371692e-116	KIF1C	17	4997950	5028401	protein_coding	10749
ENSG00000128595	2104.8048996284124	-1.7411168484175972	0.07552660905391158	-23.053025552554228	1.3716316831898164e-117	1.867814001600862e-115	CALU	7	128739292	128773400	protein_coding	813
ENSG00000102302	274.26851071438364	-5.244130354268826	0.2277139395419	-23.029465674427417	2.362850365093385e-117	3.1922666586041182e-115	FGD1	X	54445454	54496234	protein_coding	2245
ENSG00000151846	1559.586268704193	-2.8739211474732924	0.12482443124698196	-23.02370712818913	2.6985578010404443e-117	3.6173324023634327e-115	PABPC3	13	25096136	25099254	protein_coding	5042
ENSG00000145730	342.17810177993704	-5.887721382315743	0.25581408528053584	-23.015626273506538	3.251400389929144e-117	4.3246145651476165e-115	PAM	5	102753981	103029730	protein_coding	5066
ENSG00000131389	2712.7397706554348	-2.4825516923583124	0.10792135753014506	-23.003340109624503	4.315943846049913e-117	5.696381885424956e-115	SLC6A6	3	14402576	14489349	protein_coding	6533
ENSG00000106605	475.0238856235789	-3.063810458089059	0.1338784378456183	-22.885017986407096	6.551358828590342e-116	8.580779754271228e-114	BLVRA	7	43758680	43807342	protein_coding	644
ENSG00000145244	2077.8428689915663	-3.742178618805036	0.163959685689056	-22.823772826095503	2.663066119832329e-115	3.461582460915387e-113	CORIN	4	47593999	47838106	protein_coding	10699
ENSG00000086730	2609.304418543804	-2.351604578645464	0.10324575772172048	-22.77676710924794	7.793382248701702e-115	1.0054049069415323e-112	LAT2	7	74199652	74229834	protein_coding	7462
ENSG00000074266	1983.1358779722505	-2.094327427594195	0.09200805400212746	-22.762435857471445	1.0807267598238819e-114	1.3838141600789674e-112	EED	11	86201212	86278813	protein_coding	8726
ENSG00000115317	1013.7076410030774	-1.7767520223700013	0.07840380558181599	-22.66155334151381	1.0732769857056352e-113	1.364095297832392e-111	HTRA2	2	74529596	74533350	protein_coding	27429
ENSG00000180138	452.5766110272209	-8.517030681044352	0.3761963124471847	-22.639856902478495	1.7561262462001342e-113	2.2155598626692576e-111	CSNK1A1L	13	37103259	37105664	protein_coding	122011
ENSG00000067082	5663.734154010926	-1.3682348040992018	0.060764975830312	-22.51683285318895	2.8395123023837617e-112	3.5562300791460286e-110	KLF6	10	3775996	3785281	protein_coding	1316
ENSG00000073792	411.2713424826501	-8.140158380411998	0.362374653872678	-22.463376766058477	9.470984682061266e-112	1.1775590954696173e-109	IGF2BP2	3	185643130	185825042	protein_coding	10644
ENSG00000100722	1652.8556094365654	-2.138316217599505	0.09521993921589324	-22.45660137160219	1.1030990690770787e-111	1.361652793325505e-109	ZC3H14	14	88562970	88627596	protein_coding	79882
ENSG00000143473	158.13868793080806	-5.077798882481445	0.2271984450370681	-22.34961987373191	1.2177601830241447e-110	1.4924520871663057e-108	KCNH1	1	210676823	211134165	protein_coding	3756
ENSG00000137710	684.1792052568966	-1.6599097158017766	0.074408487441181545	-22.308069588350424	3.085261969387682e-110	3.754391834805238e-108	RDX	11	109864295	110296712	protein_coding	5962
ENSG00000117586	1480.691335004224	-6.896670510804815	0.3092803116811687	-22.29909325076749	3.770629285158999e-110	4.556088540475924e-108	TNFSF4	1	173183731	173207331	protein_coding	7292
ENSG00000167642	2675.055018188781	-2.2016610141365542	0.09883601030453248	-22.27589931395267	6.329449143045748e-110	7.59445373401251e-108	SPINT2	19	38244035	38292615	protein_coding	10653
ENSG00000159335	347.38113321848664	-3.1678967104743445	0.14266008057814936	-22.205908602014052	3.011442381162462e-109	3.588217248332327e-107	PTMS	12	6765516	6770952	protein_coding	5763
ENSG00000230667	224.46769329024343	-2.9225708823981016	0.13188750773469843	-22.15957320443928	8.434628559081649e-109	9.980783228739514e-107	SETSIP	1	92074533	92075411	protein_coding	646817
ENSG00000136167	62696.86399181228	-2.78247074709383	0.12588360828874162	-22.10351915486585	2.9236882057890585e-108	3.4359343996526487e-106	LCP1	13	46125920	46211871	protein_coding	3936
ENSG00000169180	7154.999354719084	-1.9977392909741616	0.09090003714247492	-21.97732095359812	4.746581237087205e-107	5.540261283397431e-105	XPO6	16	28097976	28211965	protein_coding	23214
ENSG00000168081	765.9330482850794	3.410187484677678	0.15532795494587157	21.954756861802853	7.799747407884736e-107	9.04243689354637e-105	PNOC	8	28316986	28343355	protein_coding	5368
ENSG00000169991	858.1189599230166	-2.303096064068689	0.10584808917688608	-21.758503927453173	5.739034385779943e-105	6.60874845578606e-103	IFFO2	1	18904280	18956676	protein_coding	126917
ENSG00000105642	773.9149318500461	-9.804529509757549	0.4514362936280098	-21.718522963589248	1.3711695647300274e-104	1.568435159442521e-102	KCNN1	19	17951293	18000085	protein_coding	3780
ENSG00000162676	626.8169596881665	-3.2770550630137025	0.15101697876987574	-21.699911425240327	2.055583421811179e-104	2.335741745128226e-102	GFI1	1	92473043	92486925	protein_coding	2672
ENSG00000115866	3866.079277882493	-1.4287955754303543	0.0658676122516714	-21.691929107299597	2.445158179277455e-104	2.760133160529117e-102	DARS1	2	135905881	135986100	protein_coding	1615
ENSG00000118263	419.99700368549446	-2.671118215263812	0.1235237396181756	-21.624330865633677	1.0604403121779462e-103	1.1892179657744575e-101	KLF7	2	207074137	207173856	protein_coding	8609
ENSG00000104613	759.997033155179	1.6759722315092251	0.07753850789457191	21.6147083174211	1.306252410396299e-103	1.4553687569856944e-101	INTS10	8	19817391	19852083	protein_coding	55174
ENSG00000122188	772.7756132443587	2.590217839701041	0.12122323633066905	21.36733779846897	2.6904241180252734e-101	2.9782127107792027e-99	LAX1	1	203765177	203776372	protein_coding	54900
ENSG00000165929	208.48533381815588	-4.577685166705653	0.21449137462478896	-21.342047784967697	4.62251283429584e-101	5.084171487874873e-99	TC2N	14	91779746	91867536	protein_coding	123036
